id,X,Y,PS,Unnamed_ 0,Population,Elevation,Weight,clusters,layer,path
"1",855205.605022405,8504649.25289874,"1",,,,,,Primary_substations,"Point?crs=EPSG:5858&field=id:long(10,0)&field=xcoord:double(0,0)&field=ycoord:double(0,0)&uid={4fcbfe76-4543-4166-aa5c-fc7e24bacdc4}"
"2",857152.942726927,8507387.65520124,"1",,,,,,Primary_substations,"Point?crs=EPSG:5858&field=id:long(10,0)&field=xcoord:double(0,0)&field=ycoord:double(0,0)&uid={4fcbfe76-4543-4166-aa5c-fc7e24bacdc4}"
"3",857632.048698807,8510612.43348198,"1",,,,,,Primary_substations,"Point?crs=EPSG:5858&field=id:long(10,0)&field=xcoord:double(0,0)&field=ycoord:double(0,0)&uid={4fcbfe76-4543-4166-aa5c-fc7e24bacdc4}"
"4",856389.456469717,8512961.09921683,"1",,,,,,Primary_substations,"Point?crs=EPSG:5858&field=id:long(10,0)&field=xcoord:double(0,0)&field=ycoord:double(0,0)&uid={4fcbfe76-4543-4166-aa5c-fc7e24bacdc4}"
"5",853832.526347652,8514827.51365833,"1",,,,,,Primary_substations,"Point?crs=EPSG:5858&field=id:long(10,0)&field=xcoord:double(0,0)&field=ycoord:double(0,0)&uid={4fcbfe76-4543-4166-aa5c-fc7e24bacdc4}"
"6",850724.446324049,8515601.4529344,"1",,,,,,Primary_substations,"Point?crs=EPSG:5858&field=id:long(10,0)&field=xcoord:double(0,0)&field=ycoord:double(0,0)&uid={4fcbfe76-4543-4166-aa5c-fc7e24bacdc4}"
"7",847105.195370381,8515748.62598392,"1",,,,,,Primary_substations,"Point?crs=EPSG:5858&field=id:long(10,0)&field=xcoord:double(0,0)&field=ycoord:double(0,0)&uid={4fcbfe76-4543-4166-aa5c-fc7e24bacdc4}"
"8",843940.338494794,8514723.44252135,"1",,,,,,Primary_substations,"Point?crs=EPSG:5858&field=id:long(10,0)&field=xcoord:double(0,0)&field=ycoord:double(0,0)&uid={4fcbfe76-4543-4166-aa5c-fc7e24bacdc4}"
"9",841833.483522288,8512518.56111923,"1",,,,,,Primary_substations,"Point?crs=EPSG:5858&field=id:long(10,0)&field=xcoord:double(0,0)&field=ycoord:double(0,0)&uid={4fcbfe76-4543-4166-aa5c-fc7e24bacdc4}"
"10",840689.518725478,8509568.72449266,"1",,,,,,Primary_substations,"Point?crs=EPSG:5858&field=id:long(10,0)&field=xcoord:double(0,0)&field=ycoord:double(0,0)&uid={4fcbfe76-4543-4166-aa5c-fc7e24bacdc4}"
"11",840615.918001045,8506439.00916525,"1",,,,,,Primary_substations,"Point?crs=EPSG:5858&field=id:long(10,0)&field=xcoord:double(0,0)&field=ycoord:double(0,0)&uid={4fcbfe76-4543-4166-aa5c-fc7e24bacdc4}"
"12",842257.49495371,8503787.0710307,"1",,,,,,Primary_substations,"Point?crs=EPSG:5858&field=id:long(10,0)&field=xcoord:double(0,0)&field=ycoord:double(0,0)&uid={4fcbfe76-4543-4166-aa5c-fc7e24bacdc4}"
"13",844579.182414431,8501925.52103789,"1",,,,,,Primary_substations,"Point?crs=EPSG:5858&field=id:long(10,0)&field=xcoord:double(0,0)&field=ycoord:double(0,0)&uid={4fcbfe76-4543-4166-aa5c-fc7e24bacdc4}"
"14",848559.338706059,8501340.64980831,"1",,,,,,Primary_substations,"Point?crs=EPSG:5858&field=id:long(10,0)&field=xcoord:double(0,0)&field=ycoord:double(0,0)&uid={4fcbfe76-4543-4166-aa5c-fc7e24bacdc4}"
"15",852459.770732731,8502321.34401464,"1",,,,,,Primary_substations,"Point?crs=EPSG:5858&field=id:long(10,0)&field=xcoord:double(0,0)&field=ycoord:double(0,0)&uid={4fcbfe76-4543-4166-aa5c-fc7e24bacdc4}"
"16",841698.4916,8507580.406,"0","1251","0",570.796997099999999,6.000000000000000,"3",total_cluster,C:/Users/Asus/Desktop/POLIMI/Thesis/GISELE/Output/Clusters/total_cluster.shp
"17",841688.8026,8508566.551,"0","1252","0",579.273986799999989,5.026587278500000,"3",total_cluster,C:/Users/Asus/Desktop/POLIMI/Thesis/GISELE/Output/Clusters/total_cluster.shp
"18",842733.9197,8505616.727,"0","1300","0",662.851989700000104,6.000000000000000,"3",total_cluster,C:/Users/Asus/Desktop/POLIMI/Thesis/GISELE/Output/Clusters/total_cluster.shp
"19",842724.251,8506602.888,"0","1301","0",617.835998500000187,6.000000000000000,"3",total_cluster,C:/Users/Asus/Desktop/POLIMI/Thesis/GISELE/Output/Clusters/total_cluster.shp
"20",842714.5738,8507589.045,"0","1302","0",639.260009799999807,6.000000000000000,"3",total_cluster,C:/Users/Asus/Desktop/POLIMI/Thesis/GISELE/Output/Clusters/total_cluster.shp
"21",842704.8882,8508575.198,"0","1303","0",598.659973100000116,2.516559851500000,"3",total_cluster,C:/Users/Asus/Desktop/POLIMI/Thesis/GISELE/Output/Clusters/total_cluster.shp
"22",842695.1942,8509561.348,"0","1304","1",591.601989700000104,3.063461082000000,"3",total_cluster,C:/Users/Asus/Desktop/POLIMI/Thesis/GISELE/Output/Clusters/total_cluster.shp
"23",842685.4917,8510547.494,"0","1305","0",704.445983899999987,5.623119121499999,"3",total_cluster,C:/Users/Asus/Desktop/POLIMI/Thesis/GISELE/Output/Clusters/total_cluster.shp
"24",843759.6607,8504639.17,"0","1350","0",760.887023900000031,6.000000000000000,"3",total_cluster,C:/Users/Asus/Desktop/POLIMI/Thesis/GISELE/Output/Clusters/total_cluster.shp
"25",843750.0039,8505625.343,"0","1351","0",599.492004399999814,6.000000000000000,"3",total_cluster,C:/Users/Asus/Desktop/POLIMI/Thesis/GISELE/Output/Clusters/total_cluster.shp
"26",843740.3386,8506611.512,"0","1352","0",647.921020500000054,6.000000000000000,"3",total_cluster,C:/Users/Asus/Desktop/POLIMI/Thesis/GISELE/Output/Clusters/total_cluster.shp
"27",843730.6649,8507597.678,"0","1353","0",661.513977100000034,5.921985096999999,"3",total_cluster,C:/Users/Asus/Desktop/POLIMI/Thesis/GISELE/Output/Clusters/total_cluster.shp
"28",843720.9826,8508583.84,"0","1354","0",736.159973100000116,1.000000000000000,"3",total_cluster,C:/Users/Asus/Desktop/POLIMI/Thesis/GISELE/Output/Clusters/total_cluster.shp
"29",843711.292,8509569.998,"0","1355","4",768.309997599999974,5.162921675000000,"3",total_cluster,C:/Users/Asus/Desktop/POLIMI/Thesis/GISELE/Output/Clusters/total_cluster.shp
"30",843701.5928,8510556.153,"0","1356","0",717.601989700000104,6.000000000000000,"3",total_cluster,C:/Users/Asus/Desktop/POLIMI/Thesis/GISELE/Output/Clusters/total_cluster.shp
"31",843691.8852,8511542.304,"0","1357","0",851.726989699999990,6.000000000000000,"3",total_cluster,C:/Users/Asus/Desktop/POLIMI/Thesis/GISELE/Output/Clusters/total_cluster.shp
"32",843682.1692,8512528.452,"0","1358","0",830.416015600000037,6.000000000000000,"3",total_cluster,C:/Users/Asus/Desktop/POLIMI/Thesis/GISELE/Output/Clusters/total_cluster.shp
"33",844785.3951,8503661.586,"0","1400","0",827.653991700000006,6.000000000000000,"3",total_cluster,C:/Users/Asus/Desktop/POLIMI/Thesis/GISELE/Output/Clusters/total_cluster.shp
"34",844775.7503,8504647.771,"0","1401","0",725.711975100000018,6.000000000000000,"3",total_cluster,C:/Users/Asus/Desktop/POLIMI/Thesis/GISELE/Output/Clusters/total_cluster.shp
"35",844766.0969,8505633.953,"0","1402","0",644.570007299999816,6.000000000000000,"3",total_cluster,C:/Users/Asus/Desktop/POLIMI/Thesis/GISELE/Output/Clusters/total_cluster.shp
"36",844756.4351,8506620.131,"0","1403","0",664.043029799999999,6.000000000000000,"3",total_cluster,C:/Users/Asus/Desktop/POLIMI/Thesis/GISELE/Output/Clusters/total_cluster.shp
"37",844746.7647,8507606.305,"0","1404","0",799.252990700000055,6.000000000000000,"3",total_cluster,C:/Users/Asus/Desktop/POLIMI/Thesis/GISELE/Output/Clusters/total_cluster.shp
"38",844737.0859,8508592.475,"0","1405","0",854.674011199999995,1.000000000000000,"3",total_cluster,C:/Users/Asus/Desktop/POLIMI/Thesis/GISELE/Output/Clusters/total_cluster.shp
"39",844727.3986,8509578.642,"0","1406","0",900.039001500000040,4.510522327500000,"3",total_cluster,C:/Users/Asus/Desktop/POLIMI/Thesis/GISELE/Output/Clusters/total_cluster.shp
"40",844717.7028,8510564.806,"0","1407","0",862.413024899999982,6.000000000000000,"3",total_cluster,C:/Users/Asus/Desktop/POLIMI/Thesis/GISELE/Output/Clusters/total_cluster.shp
"41",844707.9985,8511550.966,"0","1408","0",931.064025900000047,6.000000000000000,"3",total_cluster,C:/Users/Asus/Desktop/POLIMI/Thesis/GISELE/Output/Clusters/total_cluster.shp
"42",844698.2858,8512537.122,"0","1409","0",939.135009800000034,6.000000000000000,"3",total_cluster,C:/Users/Asus/Desktop/POLIMI/Thesis/GISELE/Output/Clusters/total_cluster.shp
"43",845801.4901,8503670.174,"0","1451","0",832.676025399999958,6.000000000000000,"3",total_cluster,C:/Users/Asus/Desktop/POLIMI/Thesis/GISELE/Output/Clusters/total_cluster.shp
"44",845791.8487,8504656.367,"0","1452","0",640.622985799999810,6.000000000000000,"3",total_cluster,C:/Users/Asus/Desktop/POLIMI/Thesis/GISELE/Output/Clusters/total_cluster.shp
"45",845782.1989,8505642.558,"0","1453","0",745.364990200000193,6.000000000000000,"3",total_cluster,C:/Users/Asus/Desktop/POLIMI/Thesis/GISELE/Output/Clusters/total_cluster.shp
"46",845772.5404,8506628.744,"0","1454","0",917.289978000000019,6.000000000000000,"3",total_cluster,C:/Users/Asus/Desktop/POLIMI/Thesis/GISELE/Output/Clusters/total_cluster.shp
"47",845762.8735,8507614.927,"0","1455","0",945.992980999999986,6.000000000000000,"3",total_cluster,C:/Users/Asus/Desktop/POLIMI/Thesis/GISELE/Output/Clusters/total_cluster.shp
"48",845753.1981,8508601.106,"0","1456","0",926.163024899999982,4.047199411000001,"3",total_cluster,C:/Users/Asus/Desktop/POLIMI/Thesis/GISELE/Output/Clusters/total_cluster.shp
"49",845743.5141,8509587.281,"0","1457","0",956.658996600000023,2.813982096500000,"3",total_cluster,C:/Users/Asus/Desktop/POLIMI/Thesis/GISELE/Output/Clusters/total_cluster.shp
"50",845733.8217,8510573.453,"0","1458","0",932.664001500000040,6.000000000000000,"3",total_cluster,C:/Users/Asus/Desktop/POLIMI/Thesis/GISELE/Output/Clusters/total_cluster.shp
"51",845724.1207,8511559.622,"0","1459","0",908.312988300000029,6.000000000000000,"3",total_cluster,C:/Users/Asus/Desktop/POLIMI/Thesis/GISELE/Output/Clusters/total_cluster.shp
"52",845714.4112,8512545.786,"0","1460","0",945.476013200000011,6.000000000000000,"3",total_cluster,C:/Users/Asus/Desktop/POLIMI/Thesis/GISELE/Output/Clusters/total_cluster.shp
"53",845704.6933,8513531.948,"0","1461","0",962.911010700000020,6.000000000000000,"3",total_cluster,C:/Users/Asus/Desktop/POLIMI/Thesis/GISELE/Output/Clusters/total_cluster.shp
"54",846827.2233,8502692.55,"0","1501","0",992.010986300000013,6.000000000000000,"3",total_cluster,C:/Users/Asus/Desktop/POLIMI/Thesis/GISELE/Output/Clusters/total_cluster.shp
"55",846817.594,8503678.756,"0","1502","0",746.635009799999807,6.000000000000000,"3",total_cluster,C:/Users/Asus/Desktop/POLIMI/Thesis/GISELE/Output/Clusters/total_cluster.shp
"56",846807.9561,8504664.958,"0","1503","0",797.304016100000013,6.000000000000000,"3",total_cluster,C:/Users/Asus/Desktop/POLIMI/Thesis/GISELE/Output/Clusters/total_cluster.shp
"57",846798.3097,8505651.157,"0","1504","0",685.296020500000054,6.000000000000000,"3",total_cluster,C:/Users/Asus/Desktop/POLIMI/Thesis/GISELE/Output/Clusters/total_cluster.shp
"58",846788.6547,8506637.352,"0","1505","0",832.005981399999882,6.000000000000000,"3",total_cluster,C:/Users/Asus/Desktop/POLIMI/Thesis/GISELE/Output/Clusters/total_cluster.shp
"59",846778.9912,8507623.543,"0","1506","0",958.023010300000010,4.908760274500001,"3",total_cluster,C:/Users/Asus/Desktop/POLIMI/Thesis/GISELE/Output/Clusters/total_cluster.shp
"60",846769.3192,8508609.731,"0","1507","12",931.934021000000030,4.296419058500001,"3",total_cluster,C:/Users/Asus/Desktop/POLIMI/Thesis/GISELE/Output/Clusters/total_cluster.shp
"61",846759.6386,8509595.915,"0","1508","0",963.109008799999970,1.000000000000000,"3",total_cluster,C:/Users/Asus/Desktop/POLIMI/Thesis/GISELE/Output/Clusters/total_cluster.shp
"62",846749.9495,8510582.095,"0","1509","0",947.359008799999970,4.306268504000000,"3",total_cluster,C:/Users/Asus/Desktop/POLIMI/Thesis/GISELE/Output/Clusters/total_cluster.shp
"63",846740.2518,8511568.272,"0","1510","0",923.961975100000018,1.000000000000000,"3",total_cluster,C:/Users/Asus/Desktop/POLIMI/Thesis/GISELE/Output/Clusters/total_cluster.shp
"64",846730.5456,8512554.446,"0","1511","0",905.840026899999998,5.649063941000001,"3",total_cluster,C:/Users/Asus/Desktop/POLIMI/Thesis/GISELE/Output/Clusters/total_cluster.shp
"65",846720.8309,8513540.616,"0","1512","0",931.458007800000019,6.000000000000000,"3",total_cluster,C:/Users/Asus/Desktop/POLIMI/Thesis/GISELE/Output/Clusters/total_cluster.shp
"66",847843.3326,8502701.117,"0","1552","0",862.401977500000044,6.000000000000000,"3",total_cluster,C:/Users/Asus/Desktop/POLIMI/Thesis/GISELE/Output/Clusters/total_cluster.shp
"67",847833.7068,8503687.332,"0","1553","0",898.177978499999995,6.000000000000000,"3",total_cluster,C:/Users/Asus/Desktop/POLIMI/Thesis/GISELE/Output/Clusters/total_cluster.shp
"68",847824.0725,8504673.543,"0","1554","0",896.422973599999978,6.000000000000000,"3",total_cluster,C:/Users/Asus/Desktop/POLIMI/Thesis/GISELE/Output/Clusters/total_cluster.shp
"69",847814.4295,8505659.75,"0","1555","0",827.117004399999814,6.000000000000000,"3",total_cluster,C:/Users/Asus/Desktop/POLIMI/Thesis/GISELE/Output/Clusters/total_cluster.shp
"70",847804.7779,8506645.954,"0","1556","0",813.179992700000184,6.000000000000000,"3",total_cluster,C:/Users/Asus/Desktop/POLIMI/Thesis/GISELE/Output/Clusters/total_cluster.shp
"71",847795.1178,8507632.153,"0","1557","43",858.541015599999810,2.809661785500000,"3",total_cluster,C:/Users/Asus/Desktop/POLIMI/Thesis/GISELE/Output/Clusters/total_cluster.shp
"72",847785.4492,8508618.35,"0","1558","115",919.656982399999947,1.580284107500000,"3",total_cluster,C:/Users/Asus/Desktop/POLIMI/Thesis/GISELE/Output/Clusters/total_cluster.shp
"73",847775.772,8509604.542,"0","1559","7",923.020019499999989,1.895560507500000,"3",total_cluster,C:/Users/Asus/Desktop/POLIMI/Thesis/GISELE/Output/Clusters/total_cluster.shp
